"method","p_order","q_order","count","freq"
"grid_search",1,5,225,22.5
"grid_search",2,6,146,14.6
"grid_search",1,7,105,10.5
"grid_search",1,6,96,9.6
"grid_search",3,7,56,5.6
"grid_search",3,6,45,4.5
"grid_search",4,6,39,3.9
"grid_search",5,7,31,3.1
"grid_search",5,6,28,2.8
"grid_search",7,7,26,2.6
"grid_search",6,6,25,2.5
"grid_search",4,7,22,2.2
"grid_search",7,6,22,2.2
"grid_search",2,5,21,2.1
"grid_search",6,5,21,2.1
"grid_search",2,7,19,1.9
"grid_search",7,5,19,1.9
"grid_search",6,7,13,1.3
"grid_search",4,5,11,1.1
"grid_search",5,5,11,1.1
"grid_search",3,5,9,0.9
"grid_search",7,2,2,0.2
"grid_search",7,3,2,0.2
"grid_search",1,4,1,0.1
"grid_search",2,4,1,0.1
"grid_search",4,3,1,0.1
"grid_search",5,3,1,0.1
"grid_search",6,3,1,0.1
"grid_search",7,4,1,0.1
"stepwise",2,1,442,44.2
"stepwise",3,1,112,11.2
"stepwise",1,5,54,5.4
"stepwise",2,6,43,4.3
"stepwise",3,2,41,4.1
"stepwise",2,3,34,3.4
"stepwise",1,3,31,3.1
"stepwise",4,1,27,2.7
"stepwise",4,3,25,2.5
"stepwise",1,7,20,2
"stepwise",4,2,17,1.7
"stepwise",1,6,12,1.2
"stepwise",6,1,12,1.2
"stepwise",2,5,10,1
"stepwise",7,2,10,1
"stepwise",1,2,9,0.9
"stepwise",5,3,9,0.9
"stepwise",2,2,8,0.8
"stepwise",2,0,7,0.7
"stepwise",3,3,7,0.7
"stepwise",1,1,6,0.6
"stepwise",7,1,6,0.6
"stepwise",2,7,5,0.5
"stepwise",3,6,5,0.5
"stepwise",5,6,5,0.5
"stepwise",7,3,5,0.5
"stepwise",3,4,4,0.4
"stepwise",3,7,4,0.4
"stepwise",5,1,4,0.4
"stepwise",5,2,4,0.4
"stepwise",2,4,3,0.3
"stepwise",4,4,3,0.3
"stepwise",3,5,2,0.2
"stepwise",7,5,2,0.2
"stepwise",1,4,1,0.1
"stepwise",4,5,1,0.1
"stepwise",4,6,1,0.1
"stepwise",4,7,1,0.1
"stepwise",5,4,1,0.1
"stepwise",5,5,1,0.1
"stepwise",6,2,1,0.1
"stepwise",6,3,1,0.1
"stepwise",6,4,1,0.1
"stepwise",6,5,1,0.1
"stepwise",7,0,1,0.1
"stepwise",7,4,1,0.1
